Date,PS3 player count
11/8/2014,100
11/9/2014,100
11/10/2014,100
11/11/2014,100
11/12/2014,100
11/13/2014,100
11/14/2014,100
11/15/2014,100
11/16/2014,100
11/17/2014,200
11/18/2014,3600
11/19/2014,7900
11/20/2014,10900
11/21/2014,14600
11/22/2014,20400
11/23/2014,25600
11/24/2014,29300
11/25/2014,31100
11/26/2014,35100
11/27/2014,39300
11/28/2014,44300
11/29/2014,49200
11/30/2014,53000
12/1/2014,54800
12/2/2014,56900
12/3/2014,58300
12/4/2014,60400
12/5/2014,62700
12/6/2014,67400
12/7/2014,71000
12/8/2014,72500
12/9/2014,74300
12/10/2014,76200
12/11/2014,77500
12/12/2014,79500
12/13/2014,82700
12/14/2014,86200
12/15/2014,88200
12/16/2014,89700
12/17/2014,91400
12/18/2014,92900
12/19/2014,95000
12/20/2014,98800
12/21/2014,102200
12/22/2014,105400
12/23/2014,108800
12/24/2014,115500
12/25/2014,150900
12/26/2014,174800
12/27/2014,189900
12/28/2014,201700
12/29/2014,210200
12/30/2014,218600
12/31/2014,226000
1/1/2015,233300
1/2/2015,239000
1/3/2015,244200
1/4/2015,249200
1/5/2015,252400
1/6/2015,257000
1/7/2015,260500
1/8/2015,262700
1/9/2015,265400
1/10/2015,270300
1/11/2015,274200
1/12/2015,275900
1/13/2015,278000
1/14/2015,278900
1/15/2015,280200
1/16/2015,281700
1/17/2015,284600
1/18/2015,287900
1/19/2015,290400
1/20/2015,291900
1/21/2015,292900
1/22/2015,294200
1/23/2015,296100
1/24/2015,299000
1/25/2015,301400
1/26/2015,302600
1/27/2015,304000
1/28/2015,304900
1/29/2015,305900
1/30/2015,307200
1/31/2015,310500
2/1/2015,313100
2/2/2015,314200
2/3/2015,315200
2/4/2015,316400
2/5/2015,317300
2/6/2015,318700
2/7/2015,322100
2/8/2015,325100
2/9/2015,327100
2/10/2015,327700
2/11/2015,328800
2/12/2015,329700
2/13/2015,331000
2/14/2015,334500
2/15/2015,338400
2/16/2015,341700
2/17/2015,343900
2/18/2015,345600
2/19/2015,347100
2/20/2015,348900
2/21/2015,351600
2/22/2015,354000
2/23/2015,355200
2/24/2015,356500
2/25/2015,357200
2/26/2015,358000
2/27/2015,359400
2/28/2015,361400
3/1/2015,363300
