Room,Time,Temperature,Humidity
1,22:28:25,76.10,61.00
2,22:28:25,66.20,50.00
1,22:28:26,76.10,61.00
2,22:28:26,66.20,50.00
1,22:28:27,76.10,61.00
2,22:28:27,66.20,50.00
1,22:28:28,76.10,61.00
2,22:28:28,66.20,50.00
1,22:28:29,76.10,61.00
2,22:28:29,66.20,50.00
1,22:28:31,76.10,61.00
2,22:28:31,66.20,50.00
1,22:28:32,76.10,61.00
2,22:28:32,66.20,50.00
1,22:28:33,76.10,61.00
2,22:28:33,66.20,50.00
1,22:28:34,76.28,62.00
2,22:28:34,66.20,50.00
1,22:28:36,76.28,62.00
2,22:28:36,66.20,50.00
1,22:28:37,76.28,62.00
2,22:28:37,66.20,50.00
1,22:28:38,76.28,62.00
2,22:28:38,66.20,50.00
1,22:28:39,76.28,62.00
2,22:28:39,66.20,50.00
1,22:28:40,76.28,62.00
2,22:28:40,66.20,50.00
1,22:28:42,76.28,62.00
2,22:28:42,66.20,50.00
1,22:28:43,76.28,62.00
2,22:28:43,66.20,50.00
1,22:28:44,76.28,62.00
2,22:28:44,66.20,50.00
1,22:28:45,76.28,62.00
2,22:28:45,66.20,50.00
1,22:28:47,76.28,62.00
2,22:28:47,66.20,50.00
1,22:28:48,76.28,62.00
2,22:28:48,66.20,50.00
1,22:28:49,76.28,62.00
2,22:28:49,66.20,50.00
1,22:28:50,76.28,62.00
2,22:28:50,66.20,50.00
1,22:28:51,76.28,62.00
2,22:28:51,66.20,50.00
1,22:28:53,76.28,62.00
2,22:28:53,66.20,50.00
1,22:28:54,76.28,62.00
2,22:28:54,66.20,50.00
1,22:28:55,76.28,62.00
2,22:28:55,66.20,50.00
1,22:28:56,76.28,62.00
2,22:28:56,66.20,50.00
1,22:28:57,76.28,62.00
2,22:28:57,66.20,50.00
1,22:28:59,76.28,62.00
2,22:28:59,66.20,50.00
1,22:29:00,76.28,62.00
2,22:29:00,66.20,50.00
1,22:29:01,76.28,62.00
2,22:29:01,66.20,50.00
1,22:29:02,76.28,62.00
2,22:29:02,66.20,50.00
1,22:29:03,76.28,62.00
2,22:29:03,66.20,50.00
1,22:29:05,76.28,62.00
2,22:29:05,66.20,50.00
1,22:29:06,76.28,62.00
2,22:29:06,66.20,50.00
1,22:29:07,76.28,62.00
2,22:29:07,66.20,50.00
1,22:29:09,76.28,62.00
2,22:29:09,66.20,50.00
1,22:29:10,76.28,62.00
2,22:29:10,66.20,50.00
1,22:29:11,76.28,62.00
2,22:29:11,66.20,50.00
1,22:29:12,76.28,62.00
2,22:29:12,66.20,50.00
1,22:29:14,76.28,62.00
2,22:29:14,66.20,50.00
1,22:29:15,76.28,62.00
2,22:29:15,66.20,50.00
1,22:29:16,76.28,62.00
2,22:29:16,66.20,50.00
1,22:29:17,76.28,62.00
2,22:29:17,66.20,50.00
1,22:29:18,76.28,62.00
2,22:29:18,66.20,50.00
1,22:29:20,76.28,62.00
2,22:29:20,66.20,50.00
1,22:29:21,76.28,62.00
2,22:29:21,66.20,50.00
1,22:29:22,76.28,62.00
2,22:29:22,66.20,50.00
1,22:29:23,76.28,62.00
2,22:29:23,66.20,50.00
1,22:29:24,76.46,62.00
2,22:29:24,66.20,50.00
1,22:29:26,76.46,62.00
2,22:29:26,66.20,50.00
1,22:29:27,76.46,62.00
2,22:29:27,66.20,50.00
1,22:29:28,76.46,62.00
2,22:29:28,66.20,50.00
1,22:29:29,76.46,62.00
2,22:29:29,66.20,50.00
1,22:29:30,76.46,62.00
2,22:29:30,66.20,50.00
1,22:29:32,76.46,62.00
2,22:29:32,66.20,50.00
1,22:29:33,76.46,62.00
2,22:29:33,66.20,50.00
1,22:29:34,76.46,61.00
2,22:29:34,66.20,50.00
1,22:29:35,76.46,61.00
2,22:29:35,66.20,50.00
